Session ID;E start;E pres;started;ended;Serial;Car;Energy in kWh;Price in Euro;Year;Month
62;8491423;123201;2023-03-25 12:26:36.000;2023-03-27 07:50:13.000;22417476;***REMOVED***;12,32;6,04;2023;3
63;8614624;11218;2023-03-27 12:48:59.000;2023-03-27 13:09:03.000;22417476;***REMOVED***;1,12;0,55;2023;3
64;8625842;210527;2023-03-27 13:18:53.000;2023-03-28 14:47:56.000;22417476;***REMOVED***;21,05;10,32;2023;3
65;8836369;54942;2023-03-30 07:16:47.000;2023-03-30 13:06:09.000;22417476;***REMOVED***;5,49;2,69;2023;3
66;8891311;49161;2023-03-30 14:44:43.000;2023-03-31 17:37:13.000;22417476;***REMOVED***;4,92;2,41;2023;3
67;8940472;232618;2023-04-03 08:32:40.000;2023-04-04 11:30:41.000;22417476;***REMOVED***;23,26;11,4;2023;4
72;9175787;18577;2023-04-07 09:39:57.000;2023-04-07 14:46:38.000;22417476;***REMOVED***;1,86;0,91;2023;4
73;9194364;28639;2023-04-08 15:38:50.000;2023-04-09 07:31:10.000;22417476;***REMOVED***;2,86;1,4;2023;4
74;9223003;343933;2023-04-09 14:02:21.000;2023-04-10 15:35:32.000;22417476;***REMOVED***;34,39;16,85;2023;4
75;9566936;305158;2023-04-11 16:12:17.000;2023-04-12 04:30:10.000;22417476;***REMOVED***;30,52;14,95;2023;4
76;9872094;73102;2023-04-14 06:37:18.000;2023-04-14 08:40:22.000;22417476;***REMOVED***;7,31;3,58;2023;4
77;9945196;64356;2023-04-14 10:37:35.000;2023-04-14 11:51:44.000;22417476;***REMOVED***;6,44;3,15;2023;4
78;10009552;6357;2023-04-14 11:51:57.000;2023-04-14 12:13:38.000;22417476;***REMOVED***;0,64;0,31;2023;4
80;10133350;41249;2023-04-15 07:59:15.000;2023-04-15 09:08:48.000;22417476;***REMOVED***;4,12;2,02;2023;4
81;10174599;19470;2023-04-15 12:14:15.000;2023-04-15 12:41:29.000;22417476;***REMOVED***;1,95;0,95;2023;4
82;10194069;186096;2023-04-15 12:42:49.000;2023-04-15 15:52:23.000;22417476;***REMOVED***;18,61;9,12;2023;4
83;10380165;11341;2023-04-15 16:04:22.000;2023-04-15 16:37:22.000;22417476;***REMOVED***;1,13;0,56;2023;4
84;10391506;1482;2023-04-15 19:05:53.000;2023-04-15 19:13:15.000;22417476;***REMOVED***;0,15;0,07;2023;4
85;10392988;7405;2023-04-16 17:15:29.000;2023-04-17 11:40:07.000;22417476;***REMOVED***;0,74;0,36;2023;4
86;10400393;32937;2023-04-17 12:26:28.000;2023-04-18 06:47:59.000;22417476;***REMOVED***;3,29;1,61;2023;4
87;10433330;300396;2023-04-18 08:01:15.000;2023-04-18 11:59:20.000;22417476;***REMOVED***;30,04;14,72;2023;4
88;10733726;195419;2023-04-18 15:02:12.000;2023-04-19 05:57:32.000;22417476;***REMOVED***;19,54;9,58;2023;4
89;10929145;211180;2023-04-19 19:08:05.000;2023-04-20 06:34:06.000;22417476;***REMOVED***;21,12;10,35;2023;4
90;11140325;9166;2023-04-20 06:48:38.000;2023-04-20 07:33:12.000;22417476;***REMOVED***;0,92;0,45;2023;4
