Session ID;E start;E pres;started;ended;Serial;Car;Energy in kWh;Price in Euro;Year;Month
101;12269085;273533;2023-04-27 06:12:13.000;2023-04-27 12:19:08.000;22417476;***REMOVED***;27,35;13,4;2023;4
100;11962667;306418;2023-04-23 15:53:17.000;2023-04-24 02:56:37.000;22417476;***REMOVED***;30,64;15,01;2023;4
98;11828716;96634;2023-04-23 07:15:19.000;2023-04-23 11:08:43.000;22417476;***REMOVED***;9,66;4,74;2023;4
93;11366479;80965;2023-04-21 12:51:16.000;2023-04-21 18:14:03.000;22417476;***REMOVED***;8,1;3,97;2023;4
92;11173259;193220;2023-04-21 06:23:38.000;2023-04-21 11:23:44.000;22417476;***REMOVED***;19,32;9,47;2023;4
91;11149491;23768;2023-04-20 09:36:18.000;2023-04-20 12:39:32.000;22417476;***REMOVED***;2,38;1,16;2023;4
90;11140325;9166;2023-04-20 06:48:38.000;2023-04-20 07:33:12.000;22417476;***REMOVED***;0,92;0,45;2023;4
89;10929145;211180;2023-04-19 19:08:05.000;2023-04-20 06:34:06.000;22417476;***REMOVED***;21,12;10,35;2023;4
88;10733726;195419;2023-04-18 15:02:12.000;2023-04-19 05:57:32.000;22417476;***REMOVED***;19,54;9,58;2023;4
87;10433330;300396;2023-04-18 08:01:15.000;2023-04-18 11:59:20.000;22417476;***REMOVED***;30,04;14,72;2023;4
86;10400393;32937;2023-04-17 12:26:28.000;2023-04-18 06:47:59.000;22417476;***REMOVED***;3,29;1,61;2023;4
85;10392988;7405;2023-04-16 17:15:29.000;2023-04-17 11:40:07.000;22417476;***REMOVED***;0,74;0,36;2023;4
84;10391506;1482;2023-04-15 19:05:53.000;2023-04-15 19:13:15.000;22417476;***REMOVED***;0,15;0,07;2023;4
83;10380165;11341;2023-04-15 16:04:22.000;2023-04-15 16:37:22.000;22417476;***REMOVED***;1,13;0,56;2023;4
82;10194069;186096;2023-04-15 12:42:49.000;2023-04-15 15:52:23.000;22417476;***REMOVED***;18,61;9,12;2023;4
81;10174599;19470;2023-04-15 12:14:15.000;2023-04-15 12:41:29.000;22417476;***REMOVED***;1,95;0,95;2023;4
80;10133350;41249;2023-04-15 07:59:15.000;2023-04-15 09:08:48.000;22417476;***REMOVED***;4,12;2,02;2023;4
78;10009552;6357;2023-04-14 11:51:57.000;2023-04-14 12:13:38.000;22417476;***REMOVED***;0,64;0,31;2023;4
77;9945196;64356;2023-04-14 10:37:35.000;2023-04-14 11:51:44.000;22417476;***REMOVED***;6,44;3,15;2023;4
76;9872094;73102;2023-04-14 06:37:18.000;2023-04-14 08:40:22.000;22417476;***REMOVED***;7,31;3,58;2023;4
